C,H,L,O,BV,T,V
5800.0,5860.0,5727.70922893,5738.0,734376.6415772,2017-11-12T05:25:00,127.19041999
5740.34883156,5832.0,5721.3,5800.0,633336.8354413,2017-11-12T05:30:00,110.0838534
5680.0,5749.99999999,5680.0,5740.34883156,1052216.65031234,2017-11-12T05:35:00,184.29973411
5720.00000101,5721.18529365,5638.00000002,5680.0,1298178.48901535,2017-11-12T05:40:00,228.91175474
5650.0,5721.18529362,5601.000001,5721.18529355,1061715.803428,2017-11-12T05:45:00,188.19536873
5720.20000001,5751.42777581,5630.00000003,5650.0,876559.10525134,2017-11-12T05:50:00,153.72411866
5780.0,5799.62780711,5650.0,5690.0,430257.51222417,2017-11-12T05:55:00,75.06247118
5677.1,5780.0,5675.2370344,5780.0,394700.30547468,2017-11-12T06:00:00,68.97298933
5660.0,5700.0,5660.0,5695.0,399833.60288083,2017-11-12T06:05:00,70.44752079
5600.0,5669.999,5600.0,5660.0,809777.1978066,2017-11-12T06:10:00,144.2189269
5562.8,5615.99999998,5562.0,5600.0,1376954.62229861,2017-11-12T06:15:00,246.3663094
5593.19133218,5657.09536166,5562.0,5595.0,1096722.82377919,2017-11-12T06:20:00,195.68874447
5616.1,5650.0,5574.9999999,5625.00000001,839698.12941384,2017-11-12T06:25:00,149.66819294
5616.80000005,5633.0,5582.404,5616.10000003,924378.78546719,2017-11-12T06:30:00,164.53594394
5580.0,5628.70025481,5572.18133218,5616.80000005,662667.10003063,2017-11-12T06:35:00,118.16005625
5593.97871155,5593.97871157,5520.0,5572.19133218,1219924.14187696,2017-11-12T06:40:00,219.69622288
5501.0,5620.0,5501.0,5593.97871155,1066276.16714635,2017-11-12T06:45:00,192.52677296
5500.0,5502.99999999,5428.50576837,5501.0,1787797.77361084,2017-11-12T06:50:00,326.66272645
5600.0,5600.0,5483.706,5500.0,1206156.60754618,2017-11-12T06:55:00,217.10347987
5780.0,5789.1,5590.0,5590.0,1508630.27977149,2017-11-12T07:00:00,265.06296609
6199.99821764,6225.12,5779.47,5780.0,3575515.29058826,2017-11-12T07:05:00,595.20219953
6050.0,6320.0,5961.3942,6199.99821764,3741662.30261571,2017-11-12T07:10:00,607.98668244
5940.0,6200.0,5840.98474735,6050.0,1404569.10386939,2017-11-12T07:15:00,236.91451233
6120.0,6190.0,5935.0,5940.60908219,1619574.47513284,2017-11-12T07:20:00,266.41565824
6085.0,6159.0,6051.00000001,6121.57999999,1242320.35926667,2017-11-12T07:25:00,202.62349844
5875.0,6097.05683999,5824.84,6089.0,1328923.64289986,2017-11-12T07:30:00,224.29105199
5940.98999999,5998.99999998,5840.3,5850.038,537849.72508563,2017-11-12T07:35:00,90.70473818
5990.878,6000.0,5908.0,5940.98999999,880918.11363779,2017-11-12T07:40:00,147.55572143
6100.0,6133.85999999,5985.0,5990.89384136,680653.49007239,2017-11-12T07:45:00,112.27211403
6125.5,6125.5,6062.0,6109.99999998,1006593.60410222,2017-11-12T07:50:00,164.95990767
6085.5,6129.0,6043.69,6125.4,918798.62710193,2017-11-12T07:55:00,150.9094306
6170.0,6198.0,6085.5,6085.5,977491.22412588,2017-11-12T08:00:00,159.02418276
6265.0,6275.0,6050.00000001,6170.0,1421404.37536369,2017-11-12T08:05:00,229.72971141
6472.0,6473.5,6265.0,6265.0,3013343.3245743,2017-11-12T08:10:00,470.71193479
6550.0,6550.0,6450.0,6473.5,1948734.97353505,2017-11-12T08:15:00,300.14374186
6347.70986001,6600.0,6300.0,6550.0,2386919.77665384,2017-11-12T08:20:00,368.87686335
6317.8,6347.70986001,6151.0,6347.70986001,1775229.51111222,2017-11-12T08:25:00,283.86086734
6221.01345642,6410.52727993,6218.47,6317.8,913958.32201641,2017-11-12T08:30:00,144.56445819
6200.0,6250.9,6138.63008617,6221.78,1075842.60714955,2017-11-12T08:35:00,173.58254026
